 00:00:00.000000 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [S], seq 1852594190, win 65535, options [mss 1460,nop,wscale 6,nop,nop,TS val 729676479 ecr 0,sackOK,eol], length 0
 00:00:00.041144 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [S.], seq 1658809771, ack 1852594191, win 28960, options [mss 1400,sackOK,TS val 2521817020 ecr 729676479,nop,wscale 7], length 0
 00:00:00.041193 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1, win 2060, options [nop,nop,TS val 729676520 ecr 2521817020], length 0
 00:00:00.541042 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 849457:850845, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.541204 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 850845:852233, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.541301 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 852233:853621, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542636 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 853621:855009, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542641 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 855009:856397, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542864 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 856397:857785, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542866 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 857785:859173, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542868 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 859173:860561, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.542892 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 857785, win 3231, options [nop,nop,TS val 729676977 ecr 2521817516], length 0
 00:00:00.542981 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 860561:861949, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.543027 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 861949:863337, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.543254 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 863337:864725, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.543313 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 864725:866113, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.544572 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 866113:867501, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.544623 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 867501:868889, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.544648 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 868889, win 3209, options [nop,nop,TS val 729676978 ecr 2521817516], length 0
 00:00:00.544744 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 868889:870277, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.544814 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 870277:871665, ack 122, win 227, options [nop,nop,TS val 2521817516 ecr 729676941], length 1388: HTTP
 00:00:00.544827 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 871665:873053, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.545187 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [P.], seq 873053:874441, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.545190 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 874441:875829, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.545194 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 875829:877217, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.545225 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 874441, win 3231, options [nop,nop,TS val 729676978 ecr 2521817516], length 0
 00:00:00.545239 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 877217:878605, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.546552 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 878605:879993, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.546757 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 879993:881381, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.546759 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 881381:882769, ack 122, win 227, options [nop,nop,TS val 2521817520 ecr 729676945], length 1388: HTTP
 00:00:00.557055 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 882769:884157, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558282 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 884157:885545, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558287 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 885545:886933, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558334 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 885545, win 3231, options [nop,nop,TS val 729676990 ecr 2521817520], length 0
 00:00:00.558464 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 886933:888321, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558483 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 888321:889709, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558607 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 889709:891097, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.558610 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 891097:892485, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.560030 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 892485:893873, ack 122, win 227, options [nop,nop,TS val 2521817535 ecr 729676958], length 1388: HTTP
 00:00:00.561320 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 893873:895261, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.561323 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 895261:896649, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.561362 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 896649, win 3209, options [nop,nop,TS val 729676992 ecr 2521817535], length 0
 00:00:00.562787 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 896649:898037, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.562791 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 898037:899425, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.562842 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 899425, win 3209, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.562907 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 899425, win 3253, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.562942 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 899425:900813, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.563065 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 900813:902201, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.563068 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 902201:903589, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.563070 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 903589:904977, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.563089 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 902201, win 3209, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.563098 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 902201, win 3253, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.563107 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 904977, win 3209, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.563176 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 904977, win 3253, options [nop,nop,TS val 729676993 ecr 2521817539], length 0
 00:00:00.564558 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 904977:906365, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564726 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 906365:907753, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564730 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 907753:909141, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564773 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 907753, win 3231, options [nop,nop,TS val 729676994 ecr 2521817539], length 0
 00:00:00.564790 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 909141:910529, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564980 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 910529:911917, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564984 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 911917:913305, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.564987 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 913305:914693, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.566379 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 914693:916081, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.566592 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 916081:917469, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.566594 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 917469:918857, ack 122, win 227, options [nop,nop,TS val 2521817539 ecr 729676962], length 1388: HTTP
 00:00:00.566596 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 918857:920245, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.566621 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 918857, win 3209, options [nop,nop,TS val 729676995 ecr 2521817539], length 0
 00:00:00.566698 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 920245:921633, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.566700 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 921633:923021, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.566760 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 923021:924409, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.566860 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 924409:925797, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.567038 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 925797:927185, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.567130 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 927185:928573, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.569268 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 928573:929961, ack 122, win 227, options [nop,nop,TS val 2521817541 ecr 729676964], length 1388: HTTP
 00:00:00.569302 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 929961, win 3274, options [nop,nop,TS val 729676997 ecr 2521817541], length 0
 00:00:00.570677 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 929961:931349, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572181 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 931349:932737, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572184 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 932737:934125, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572185 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 934125:935513, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572187 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 935513:936901, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572446 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 936901:938289, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.572448 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 938289:939677, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.573732 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 939677:941065, ack 122, win 227, options [nop,nop,TS val 2521817549 ecr 729676970], length 1388: HTTP
 00:00:00.573763 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 941065, win 3274, options [nop,nop,TS val 729677000 ecr 2521817549], length 0
 00:00:00.575035 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 941065:942453, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576390 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 942453:943841, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576393 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 943841:945229, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576459 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 945229:946617, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576527 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 946617:948005, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576673 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 948005:949393, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576675 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 949393:950781, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576718 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 950781:952169, ack 122, win 227, options [nop,nop,TS val 2521817553 ecr 729676974], length 1388: HTTP
 00:00:00.576741 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 952169, win 3274, options [nop,nop,TS val 729677002 ecr 2521817553], length 0
 00:00:00.578402 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 952169:953557, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.578462 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 953557:954945, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.578704 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 954945:956333, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.578706 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 956333:957721, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.578708 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 957721:959109, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.578859 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 959109:960497, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.580139 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 960497:961885, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.580211 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 961885:963273, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.580227 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 963273, win 3274, options [nop,nop,TS val 729677005 ecr 2521817555], length 0
 00:00:00.580400 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 963273:964661, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.580616 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 964661:966049, ack 122, win 227, options [nop,nop,TS val 2521817555 ecr 729676975], length 1388: HTTP
 00:00:00.580618 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 966049:967437, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.580619 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 967437:968825, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.580763 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 968825:970213, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.580765 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 970213:971601, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.580766 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 971601:972989, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.582193 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 972989:974377, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.582194 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 974377:975765, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.582212 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 974377, win 3274, options [nop,nop,TS val 729677007 ecr 2521817555], length 0
 00:00:00.582353 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 975765:977153, ack 122, win 227, options [nop,nop,TS val 2521817557 ecr 729676977], length 1388: HTTP
 00:00:00.582356 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 977153:978541, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582656 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 978541:979929, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582659 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 979929:981317, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582661 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 981317:982705, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582662 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 982705:984093, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582728 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 984093:985481, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.582739 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 985481, win 3274, options [nop,nop,TS val 729677007 ecr 2521817557], length 0
 00:00:00.584079 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 985481:986869, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.584202 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 986869:988257, ack 122, win 227, options [nop,nop,TS val 2521817559 ecr 729676978], length 1388: HTTP
 00:00:00.584385 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 988257:989645, ack 122, win 227, options [nop,nop,TS val 2521817560 ecr 729676978], length 1388: HTTP
 00:00:00.584386 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 989645:991033, ack 122, win 227, options [nop,nop,TS val 2521817560 ecr 729676978], length 1388: HTTP
 00:00:00.584388 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 991033:992421, ack 122, win 227, options [nop,nop,TS val 2521817560 ecr 729676978], length 1388: HTTP
 00:00:00.584501 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 992421:993809, ack 122, win 227, options [nop,nop,TS val 2521817560 ecr 729676978], length 1388: HTTP
 00:00:00.594372 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 993809:995197, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595766 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 995197:996585, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595772 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 996585:997973, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595906 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 996585, win 3274, options [nop,nop,TS val 729677019 ecr 2521817559], length 0
 00:00:00.595946 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 997973:999361, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595948 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 999361:1000749, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595950 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [P.], seq 1000749:1002137, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595952 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1002137:1003525, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.595978 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1002137, win 3209, options [nop,nop,TS val 729677019 ecr 2521817572], length 0
 00:00:00.597356 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1003525:1004913, ack 122, win 227, options [nop,nop,TS val 2521817572 ecr 729676990], length 1388: HTTP
 00:00:00.598672 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1004913:1006301, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.598675 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1006301:1007689, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601887 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1007689:1009077, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601890 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1009077:1010465, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601891 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1010465:1011853, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601892 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1011853:1013241, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601894 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1013241:1014629, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
 00:00:00.601937 IP 192.168.0.66.56735 > yali.mythic-beasts.com.http: Flags [.], ack 1013241, win 3209, options [nop,nop,TS val 729677024 ecr 2521817572], length 0
 00:00:00.601947 IP yali.mythic-beasts.com.http > 192.168.0.66.56735: Flags [.], seq 1014629:1016017, ack 122, win 227, options [nop,nop,TS val 2521817576 ecr 729676992], length 1388: HTTP
